SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Eastbury Community School,42.632358,20.7,12.5,14.214403
All Saints Catholic School and Technology College,59.8625506,11.4,18.9,7.814403
Barking Abbey School A Specialist Sports and Humanities College,62.2627176,11.6,15.3,11.414403
Elutec,64.4833386,11.7,52.2,25.485597
Robert Clack School,31.3437298,19.3,41.4,14.685597
The St Teresa Catholic Primary School,68.668265,9.5,15.9,10.814403
Hunters Hall Primary School,30.1378656,14.7,36.9,10.185597
Riverside Primary School,99.2443328,21.7,0,26.714403
St Joseph's Catholic Primary School,86.471947,9.4,2.4,24.314403
Dagenham Park CofE School,28.0056972,22.2,21.5,5.214403
Southwood Primary School,30.8396062,19.4,36.9,10.185597
John Perry Primary School,20.7623044,14.8,28.3,1.585597
Barking and Dagenham Tuition Service,68.2924206,25,50,23.285597
William Ford CofE Primary School,46.788532,12.7,27.4,0.685597
Riverside School,34.4266778,26.1,20.7,6.014403
The Leys Primary School,36.2507684,29.6,29.8,3.085597
Dorothy Barley Junior Academy,43.1092916,26,40.1,13.385597
Eastbrook School,25.7773556,27,29.7,2.985597
Ripple Primary School,52.009637,14.9,9.7,17.014403
Manor Infants' School/Manor Longbridge,62.3004358,9.6,9.2,17.514403
Roding Primary School,22.2131662,17.4,31.3,4.585597
Thames View Infants' School,33.5621884,27.9,17.1,9.614403
St Margarets CofE Primary School,104.6946822,6.9,4.2,22.514403
Eastbury Primary School,31.482883,20.3,15.2,11.514403
The James Cambell Primary School,24.4621234,17.8,34,7.285597
Dorothy Barley Infants' School,55.1566186,12,38.6,11.885597
Thomas Arnold Primary School,32.9317948,25,38,11.285597
Marks Gate Infants' School,43.3868876,16.8,35,8.285597
Goresbrook School,42.3832706,17.9,20.2,6.514403
Manor Junior School,103.9608922,8.4,8.2,18.514403
Marks Gate Junior School,40.8265872,25.1,38.7,11.985597
Valence Primary School,28.9187474,17,31.4,4.685597
Riverside Bridge School,56.3229362,34.5,16.7,10.014403
Godwin Primary School,30.4755924,16.3,38.1,11.385597
Monteagle Primary School,24.969728,17.5,20.9,5.814403
Parsloes Primary School,22.6863018,16,32,5.285597
Jo Richardson Community School,57.5381118,20.9,53.1,26.385597
Village Infants' School,41.5508138,11.4,32.1,5.385597
Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base,27.8391164,17.8,35.9,9.185597
St Vincent's Catholic Primary School,63.5302778,9,15.7,11.014403
Trinity School,32.7242352,34.9,28,1.285597
Northbury Primary School,58.3886876,14.7,4.4,22.314403
Gascoigne Primary School,48.7054766,21.2,7.4,19.314403
St Joseph's Catholic Primary School,77.6927066,8.1,10.9,15.814403
Warren Junior School,46.2023406,18.4,20,6.714403
Five Elms Primary School,30.0453826,18.8,34.3,7.585597
Henry Green Primary School,36.9605156,18.4,25.9,0.814403
Furze Infants' School,59.122888,11.4,15.1,11.614403
Marsh Green Primary School,54.2001586,13.9,14,12.714403
St Peter's Catholic Primary School,95.192735,8.8,5.3,21.414403
Rush Green Primary School,49.7455496,15.5,46.6,19.885597
George Carey Church of England Primary School,64.3135484,13.7,11.6,15.114403
The Warren School,25.8924094,25.9,31.6,4.885597
William Bellamy Primary School,23.0844622,20.8,31.2,4.485597
Thames View Junior School,32.8114652,37.7,18.2,8.514403
The Sydney Russell School,45.4493902,18.9,48.2,21.485597
Beam Primary School,43.413288,13.9,15.2,11.514403
Grafton Primary School,40.8907762,19.8,39.8,13.085597
Becontree Primary School,33.6020236,17,21.8,4.914403
St Michael's Catholic Grammar School,40.4852796,1.6,22.1,8.0130757
Independent Jewish Day School,111.751398,0.9,87.1,56.9869243
St Mary's CofE High School,66.2606084,37.2,5.1,25.0130757
Northside Primary School,52.4265626,18.3,17.3,12.8130757
Hasmonean High School,90.351398,3.8,72.3,42.1869243
The Hyde School,53.389556,24.7,11,19.1130757
The Totteridge Academy,25.3255756,21,34.3,4.1869243
Brunswick Park Primary and Nursery School,21.1523848,14.1,31.2,1.0869243
Summerside Primary School,52.3296876,29.1,13.3,16.8130757
Foulds School,77.5129114,4.1,63.5,33.3869243
Monkfrith Primary School,51.7712992,11.6,49.4,19.2869243
Underhill School,30.3541942,27.1,28,2.1130757
Christ Church Primary School,43.7384046,5.7,45.9,15.7869243
Brookland Infant and Nursery School,46.8967926,11.8,50.6,20.4869243
Pardes House Primary School,116.751398,8.3,88.9,58.7869243
St Paul's CofE Primary School N11,32.6573192,11.3,24.9,5.2130757
Whitefield School,56.2852796,42.3,8.8,21.3130757
Colindale Primary School,62.2089638,17.9,5.1,25.0130757
Hendon School,38.5522204,24.1,13.1,17.0130757
