LA_NAME,SCHOOL,ID,PCODE,ESTAB,P_CON,P_CON_NUM,WARD,WARD_NUM,LA_NUM,LAESTAB,OPEN,SEX,NUM_FSM,PER_FSM,SCH_TYPE,ADMIN_POL,DENOM,GIRL,BOY,STUDENT,NUM_BRIT_W,BRIT_W,NUM_IRISH,IRISH,NUM_IRISH_T,IRISH_T,NUM_WHITE_O,WHITE_O,NUM_GYPSY_ROMA,GYPSY_ROMA,NUM_CARIB_WB,CARIB_WB,NUM_AFRICA_WB,AFRICA_WB,NUM_ASIAN_WA,ASIAN_WA,NUM_MIXED_O,MIXED_O,NUM_INDIAN,INDIAN,NUM_PAKIST,PAKIST,NUM_BANG,BANG,NUM_ASIAN_O,ASIAN_O,NUM_CARIB,CARIB,NUM_AFRICA,AFRICA,NUM_BLACK_O,BLACK_O,NUM_CHIN,CHIN,NUM_OTHER,OTHER,NUM_UNCLASS,UNCLASS,NUM_ENGLISH,ENGLISH,NUM_ENGLISH_NO,ENGLISH_NO,NUM_LAN_UNCLASS,LANG_UNCLASS,LA_BRIT_W,LA_IRISH,LA_IRISH_T,LA_WHITE_O,LA_GYPSY_ROMA,LA_CARIB_WB,LA_AFRICA,LA_AFRICA_WB,LA_ASIAN_WA,LA_MIXED_O,LA_INDIAN,LA_PAKIST,LA_BANG,LA_ASIAN_O,LA_CARIB,LA_BLACK_O,LA_CHIN,LA_OTHER,LA_UNCLASS,DIFF_BRIT_W,DIFF_IRISH,DIFF_IRISH_T,DIFF_WHITE_O,DIFF_GYPSY_ROMA,DIFF_CARIB_WB,DIFF_AFRICA,DIFF_AFRICA_WB,DIFF_ASIAN_WA,DIFF_MIXED_O,DIFF_INDIAN,DIFF_PAKIST,DIFF_BANG,DIFF_ASIAN_O,DIFF_CARIB,DIFF_BLACK_O,DIFF_CHIN,DIFF_OTHER,INTEG
Barking and Dagenham,Eastbury Community School,101244,IG11 9UW,4024,Barking,E14000540,Longbridge,E05000035,E09000002,3014024,,Mixed,358,20.7,State-funded secondary,Comprehensive,No religious character,870,860,1729,209,12.5,1,0.1,0,0,301,18,7,0.4,23,1.4,28,1.7,15,0.9,23,1.4,70,4.2,249,14.9,174,10.4,58,3.5,22,1.3,353,21.1,44,2.6,3,0.2,88,5.3,2,0.1,467,28,1181,70.7,22,1.3,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,14.214403,0.1717007,0.065095,4.6583647,0.0415136,1.0424759,2.8039991,0.3603968,0.1273682,0.7509637,0.8207228,8.8631506,3.0074774,0.6867659,1.2160615,0.119837,0.0745309,3.6075312,42.632358
Barking and Dagenham,All Saints Catholic School and Technology College,101247,RM8 1JT,4703,Dagenham and Rainham,E14000657,Heath,E05000034,E09000002,3014703,,Mixed,141,11.4,State-funded secondary,Comprehensive,Roman Catholic,555,675,1233,233,18.9,29,2.4,1,0.1,112,9.1,1,0.1,18,1.5,18,1.5,12,1,29,2.4,22,1.8,7,0.6,2,0.2,73,5.9,55,4.5,551,44.7,61,4.9,0,0,9,0.7,0,0,744,60.3,489,39.7,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,7.814403,2.1282993,0.034905,4.2416353,0.3415136,0.9424759,20.7960009,0.5603968,0.0273682,0.2490363,1.5792772,5.4368494,7.1925226,3.0867659,1.9839385,2.180163,0.2745309,0.9924688,59.8625506
Barking and Dagenham,Barking Abbey School A Specialist Sports and Humanities College,101241,IG11 9AG,4021,Barking,E14000540,Longbridge,E05000035,E09000002,3014021,,Mixed,230,11.6,State-funded secondary,Comprehensive,No religious character,990,995,1985,304,15.3,3,0.2,0,0,132,6.6,0,0,45,2.3,21,1.1,21,1.1,51,2.6,173,8.7,314,15.8,414,20.9,57,2.9,85,4.3,281,14.2,21,1.1,5,0.3,32,1.6,24,1.2,1211,61,772,38.9,2,0.1,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,11.414403,0.0717007,0.065095,6.7416353,0.4415136,0.1424759,9.7039991,0.9603968,0.0726318,0.4490363,5.3207228,9.7631506,13.5074774,0.0867659,1.7839385,1.619837,0.0254691,0.0924688,62.2627176
Barking and Dagenham,Elutec,140945,RM10 7FN,4005,Dagenham and Rainham,E14000657,Eastbrook,E05000030,E09000002,3014005,01/09/2014,Mixed,27,11.7,State-funded secondary,,No religious character,30,200,230,120,52.2,3,1.3,0,0,10,4.3,0,0,4,1.7,3,1.3,4,1.7,6,2.6,7,3,9,3.9,7,3,3,1.3,9,3.9,23,10,3,1.3,0,0,3,1.3,16,7,159,69.1,43,18.7,28,12.2,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,25.485597,1.0282993,0.065095,9.0416353,0.4415136,0.7424759,13.9039991,0.7603968,0.6726318,0.4490363,0.3792772,2.1368494,4.3925226,1.5132341,1.3839385,1.419837,0.2745309,0.3924688,64.4833386
Barking and Dagenham,Robert Clack School,101245,RM8 1JU,4027,Dagenham and Rainham,E14000657,Whalebone,E05000042,E09000002,3014027,,Mixed,357,19.3,State-funded secondary,Comprehensive,No religious character,910,935,1845,763,41.4,4,0.2,0,0,236,12.8,0,0,44,2.4,18,1,14,0.8,28,1.5,47,2.5,54,2.9,109,5.9,39,2.1,66,3.6,340,18.4,53,2.9,3,0.2,23,1.2,4,0.2,1156,62.7,659,35.7,30,1.6,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,14.685597,0.0717007,0.065095,0.5416353,0.4415136,0.0424759,5.5039991,1.0603968,0.2273682,0.6509637,0.8792772,3.1368494,1.4925226,0.7132341,1.0839385,0.180163,0.0745309,0.4924688,31.3437298
Barking and Dagenham,The St Teresa Catholic Primary School,101238,RM8 2XJ,3505,Barking,E14000540,Mayesbrook,E05000036,E09000002,3013505,,Mixed,21,9.5,State-funded primary,,Roman Catholic,115,105,222,27,15.9,0,0,0,0,19,11.2,0,0,2,1.2,2,1.2,5,2.9,5,2.9,3,1.8,1,0.6,0,0,7,4.1,1,0.6,90,52.9,2,1.2,0,0,6,3.5,0,0,55,32.4,115,67.6,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,10.814403,0.2717007,0.065095,2.1416353,0.4415136,1.2424759,28.9960009,0.8603968,1.8726318,0.7490363,1.5792772,5.4368494,7.3925226,1.2867659,1.9160615,1.519837,0.2745309,1.8075312,68.668265
Barking and Dagenham,Hunters Hall Primary School,131844,RM10 8DE,2073,Barking,E14000540,Alibon,E05000027,E09000002,3012073,25/11/1998,Mixed,102,14.7,State-funded primary,Not applicable,No religious character,360,335,692,196,36.9,3,0.6,0,0,88,16.6,0,0,9,1.7,7,1.3,2,0.4,15,2.8,5,0.9,13,2.4,18,3.4,14,2.6,8,1.5,122,23,13,2.4,3,0.6,8,1.5,7,1.3,322,60.6,209,39.4,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,10.185597,0.3282993,0.065095,3.2583647,0.4415136,0.7424759,0.9039991,0.7603968,0.6273682,0.6490363,2.4792772,3.6368494,3.9925226,0.2132341,1.0160615,0.319837,0.3254691,0.1924688,30.1378656
Barking and Dagenham,Riverside Primary School,142133,IG11 0HZ,2019,Barking,E14000540,Thames,E05000039,E09000002,3012019,01/09/2015,Mixed,5,21.7,State-funded primary,,No religious character,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,99.2443328
Barking and Dagenham,St Joseph's Catholic Primary School,101235,IG11 7AR,3500,Barking,E14000540,Abbey,E05000026,E09000002,3013500,,Mixed,36,9.4,State-funded primary,Not applicable,Roman Catholic,200,180,384,7,2.4,1,0.3,0,0,30,10.1,1,0.3,7,2.4,10,3.4,1,0.3,9,3,7,2.4,0,0,2,0.7,16,5.4,12,4,172,57.9,16,5.4,0,0,2,0.7,4,1.3,66,22.2,224,75.4,7,2.4,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,24.314403,0.0282993,0.065095,3.2416353,0.1415136,0.0424759,33.9960009,1.3396032,0.7273682,0.8490363,0.9792772,6.0368494,6.6925226,2.5867659,1.4839385,2.680163,0.2745309,0.9924688,86.471947
Barking and Dagenham,Dagenham Park CofE School,136028,RM10 9QH,4704,Dagenham and Rainham,E14000657,River,E05000038,E09000002,3014704,01/01/2010,Mixed,277,22.2,State-funded secondary,Comprehensive,Church of England,635,615,1248,268,21.5,7,0.6,1,0.1,239,19.2,15,1.2,31,2.5,15,1.2,2,0.2,26,2.1,22,1.8,20,1.6,87,7,34,2.7,36,2.9,351,28.1,62,5,6,0.5,26,2.1,0,0,608,48.7,635,50.9,5,0.4,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,5.214403,0.3282993,0.034905,5.8583647,0.7584864,0.0575241,4.1960009,0.8603968,0.8273682,0.0509637,1.5792772,4.4368494,0.3925226,0.1132341,0.3839385,2.280163,0.2254691,0.4075312,28.0056972
