"","grade","age","female","race","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_6","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","schid"
"2",7,12,1,"Other",3,1,3,2,2,2,2,1,3,1,3,1
"3",7,13,1,"Black",2,1,3,1,1,1,2,1,2,3,2,1
"4",7,12,1,"Asian",3,2,3,2,2,2,3,2,2,2,2,1
"5",7,13,1,"Black",3,2,2,2,2,2,3,3,3,2,2,1
"6",7,12,0,"Black",2,3,3,3,2,2,3,2,1,3,2,1
"7",7,12,0,"White",3,1,3,2,1,1,2,1,2,2,1,1
"8",7,12,1,"Other",2,3,3,2,3,2,3,2,3,2,2,1
"9",7,12,0,"Black",2,3,2,3,3,3,3,3,2,3,2,1
"10",7,12,1,"Asian",3,2,3,2,3,2,2,2,3,3,2,1
"11",7,12,0,"Other",3,2,3,2,3,3,3,1,3,2,3,1
"12",7,12,1,"White",2,1,2,1,1,1,3,1,1,2,2,1
"13",8,13,1,"White",2,2,3,3,3,3,3,3,3,1,2,1
"14",8,13,0,"White",2,2,3,2,2,1,3,2,3,3,3,1
"15",8,13,0,"White",1,1,2,1,2,1,2,1,1,2,1,1
"16",8,13,0,"White",1,1,3,1,1,1,1,1,3,2,2,1
"17",8,14,0,"White",3,2,3,1,1,3,3,1,3,3,3,1
"18",8,13,1,"White",3,2,3,3,3,2,3,2,3,2,2,1
"19",8,13,1,"White",2,3,3,3,2,2,3,3,3,2,2,1
"20",8,13,1,"Asian",1,2,2,3,2,2,2,2,2,3,2,1
"21",8,12,1,"Black",3,3,3,3,2,3,3,3,1,3,3,1
"22",7,13,0,"White",3,3,3,3,3,2,3,2,3,3,2,1
"23",7,12,0,"White",2,1,2,2,2,2,2,2,1,2,2,1
"24",7,12,1,"White",3,1,3,2,1,2,2,2,2,3,2,1
"25",7,12,1,"Black",3,3,2,3,2,2,3,1,3,1,2,1
"26",7,12,0,"White",1,1,2,1,1,2,1,2,3,3,3,1
"27",7,12,1,"Asian",2,3,3,3,2,2,3,2,3,3,2,1
"28",7,12,1,"Asian",2,2,3,1,1,1,3,1,1,2,2,1
"29",7,13,1,"Other",3,2,3,3,2,1,3,2,3,3,2,1
"30",7,12,0,"White",3,2,2,1,2,1,1,1,1,2,2,1
"31",7,13,1,"White",2,2,3,2,2,1,2,2,3,3,2,1
"32",7,12,1,"Other",2,2,2,2,2,1,3,2,1,2,1,1
"33",8,13,1,"Other",2,2,2,2,1,2,2,1,2,2,1,1
