Grand Region Table of Table Stuff,,,,,,
Location,,Size,,,,
RegionA,,100,,,,
RegionB,,200,,,,
RegionC,,300,,,,
Grand Table Alpha of Table Stuff,,,Extra Stuff Junk,,,
Location,Grade,,,Val,,
RegionA,,,,,,
A School,10,,,Green,,
B School,20,,,Blue,,
E School,30,,,Red,,
Extra row of junk stuff,,junk word,,,,
RegionB,,,,,,
B School,40,,,Red,,
F School,40,,,,,
G School,60,,,Green,,
Extra row of junk stuff,,junk word,,,,
H School,10,,,Blue,,
RegionC,,,,,,
A School,30,,,Purple,,
B School,30,,,,,
E School,40,,,Green,,
Footer Stuff,,,,,,
More Footer Stuff,,,Stuff,Stuff,Stuff,Stuff
,,,,,,
Another Table Beta of Stuff Stuff,,,,,,
Location,Size,Kind,Shape,,,
RegionA,,,,,,
Extra row of junk stuff,,junk word,,,,
A School,40,Heavy,Round,,,
B School,20,Light,Square,,,
E School,40,Heavy,Round,,,
RegionB,,,,,,
B School,40,Heavy,Round,,,
F School,60,Light,Square,,,
G School,40,Heavy,Round,,,
Extra row of junk stuff,,junk word,,,,
H School,10,Heavy,Square,,,
RegionC,,,,,,
Extra row of junk stuff,,junk word,,,,
A School,40,Heavy,Square,,,
B School,30,Light,Square,,,
E School,40,Heavy,Round,,,
Footer Stuff,,,Stuff,,,
More Footer Stuff,,Stuff,,,Stuff,
