"","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","desk","room","television","computer_n","car","book","wealth","escs"
"1","805376","ISCED 3A","ISCED 3A","male","yes","yes",429.666,347.71,273.827,"yes","yes","2","3+","2","11-25",1.2825,0.7018
"2","802061","ISCED 3A","ISCED 3B, C","female","yes","no",435.103,427.958,460.357,"yes","no","2","1","0","11-25",-2.4364,0.2091
"3","800674","ISCED 3A","ISCED 2","male","yes","yes",372.294,271.743,337.15,"yes","yes","2","1","1","11-25",-1.1034,-1.1074
"4","803561","ISCED 2","ISCED 2","male","yes","yes",473.772,336.271,368.131,"yes","yes","2","1","3+","26-100",-0.52,-0.4944
"5","801356","ISCED 3A","ISCED 2","female",NA,NA,441.331,408.466,418.96,"yes","yes","2","0",NA,"0-10",-2.9037,-1.9712
"6","804382","ISCED 3A","ISCED 3A","male","yes","yes",402.099,402.166,322.163,"yes","yes","3+","1","3+","more than 500",-0.1675,-0.184
"7","802763","ISCED 3A","ISCED 3B, C","female","yes","yes",368.37,350.848,342.939,"yes","yes","1","1","1","26-100",-0.9672,-0.6022
"8","804476","ISCED 3A","ISCED 3B, C","female","yes","yes",513.034,452.591,481.579,"yes","yes","2","2","1","more than 500",-0.2545,-0.6848
"9","805910","ISCED 2","ISCED 2","female","yes","yes",468.747,379.964,341.267,"yes","yes","2","1","1","11-25",-1.2014,-1.8093
"10","800218","ISCED 1","ISCED 3A","female","yes","yes",509.21,455.645,534.956,"yes","yes","1","1","0","11-25",-1.6793,-0.6674
"11","801628","ISCED 3A","ISCED 3B, C","female","yes","yes",402.513,381.502,381.386,"yes","yes","3+","3+","2","26-100",2.425,1.4216
"12","803055","ISCED 3A","ISCED 3A","female","no","no",292.608,428.412,386.018,"yes","yes","1","0","0","26-100",-2.3638,-1.5816
"13","802047","ISCED 2","ISCED 2","male","no","no",428.962,379.5,408.753,"yes","yes","1","0","2","0-10",-2.2137,-2.0654
"14","802952","ISCED 3A","ISCED 3A","female","yes","yes",480.361,527.691,457.733,"yes","yes","2","2","1","101-200",-0.7418,0.8257
