"id","clid","ssex","srace","sbirthq","sbirthy","treadssk","tmathssk","sesk"
2701,1,"male","black","2nd qtr - april,may,june",1980,445,489,"free lunch"
4015,1,"male","black","3rd qtr - july,aug,sept",1980,393,429,"free lunch"
2594,1,"male","black","4th qtr - oct,nov,dec",1978,395,429,"free lunch"
2733,1,"male","black","2nd qtr - april,may,june",1980,403,405,"free lunch"
984,1,"female","black","2nd qtr - april,may,june",1980,424,500,"free lunch"
3146,1,"male","black","3rd qtr - july,aug,sept",1980,414,444,"free lunch"
3078,1,"male","black","2nd qtr - april,may,june",1980,411,444,"non-free lunch"
407,1,"male","black","1st qtr - jan,feb,march",1980,422,494,"free lunch"
3410,1,"female","black","2nd qtr - april,may,june",1980,433,473,"free lunch"
1587,1,"male","black","3rd qtr - july,aug,sept",1980,380,468,"free lunch"
1814,1,"female","black","4th qtr - oct,nov,dec",1979,421,528,"free lunch"
3024,1,"male","black","3rd qtr - july,aug,sept",1980,408,439,"free lunch"
3983,1,"male","black","1st qtr - jan,feb,march",1980,390,418,"free lunch"
1113,1,"male","black","3rd qtr - july,aug,sept",1980,408,429,"free lunch"
1791,1,"female","black","1st qtr - jan,feb,march",1980,419,439,"free lunch"
3241,1,"male","black","4th qtr - oct,nov,dec",1979,434,500,"free lunch"
197,1,"female","black","1st qtr - jan,feb,march",1980,443,484,"free lunch"
2699,1,"male","black","3rd qtr - july,aug,sept",1980,410,478,"free lunch"
1112,1,"male","black","3rd qtr - july,aug,sept",1980,425,506,"free lunch"
4031,1,"female","black","3rd qtr - july,aug,sept",1980,419,454,"free lunch"
275,2,"male","black","1st qtr - jan,feb,march",1980,437,559,"free lunch"
3313,2,"male","black","3rd qtr - july,aug,sept",1980,437,559,"free lunch"
1401,2,"male","black","1st qtr - jan,feb,march",1980,436,506,"free lunch"
3944,2,"female","black","2nd qtr - april,may,june",1980,425,559,"free lunch"
2993,2,"male","black","3rd qtr - july,aug,sept",1980,422,528,"free lunch"
2480,2,"male","black","1st qtr - jan,feb,march",1980,431,559,"free lunch"
3984,2,"female","black","4th qtr - oct,nov,dec",1980,440,500,"free lunch"
2923,2,"male","black","1st qtr - jan,feb,march",1980,391,602,"free lunch"
1722,2,"female","black","4th qtr - oct,nov,dec",1979,427,494,"non-free lunch"
1258,2,"female","black","1st qtr - jan,feb,march",1980,384,484,"free lunch"
1226,2,"female","black","3rd qtr - july,aug,sept",1980,439,500,"free lunch"
1517,2,"male","black","2nd qtr - april,may,june",1980,NA,NA,"free lunch"
222,2,"female","black","3rd qtr - july,aug,sept",1980,407,489,"free lunch"
90,2,"male","black","3rd qtr - july,aug,sept",1980,456,528,"non-free lunch"
2979,2,"female","black","4th qtr - oct,nov,dec",1979,437,536,"free lunch"
3646,2,"female","black","1st qtr - jan,feb,march",1980,445,520,"free lunch"
795,2,"female","black","4th qtr - oct,nov,dec",1979,440,559,"free lunch"
1882,2,"male","black","4th qtr - oct,nov,dec",1979,470,602,"free lunch"
3972,2,"male","black","3rd qtr - july,aug,sept",1980,402,473,"non-free lunch"
1378,2,"female","black","2nd qtr - april,may,june",1980,443,536,"free lunch"
2266,2,"female","black","3rd qtr - july,aug,sept",1980,467,547,"free lunch"
3212,2,"female","black","1st qtr - jan,feb,march",1980,425,536,"free lunch"
1022,2,"male","black","3rd qtr - july,aug,sept",1980,400,494,"free lunch"
118,3,"female","black","1st qtr - jan,feb,march",1980,456,576,"free lunch"
1076,3,"female","black","1st qtr - jan,feb,march",1980,400,459,"free lunch"
861,3,"female","black","3rd qtr - july,aug,sept",1980,416,423,"free lunch"
1080,3,"male","black","1st qtr - jan,feb,march",1980,397,434,"free lunch"
3046,3,"female","black","1st qtr - jan,feb,march",1980,419,429,"free lunch"
2967,3,"male","black","1st qtr - jan,feb,march",1980,431,484,"non-free lunch"
3617,3,"male","black","3rd qtr - july,aug,sept",1980,408,449,"free lunch"
2666,3,"female","black","2nd qtr - april,may,june",1980,411,418,"free lunch"
2644,3,"female","black","2nd qtr - april,may,june",1980,451,528,"free lunch"
1497,3,"female","black","3rd qtr - july,aug,sept",1980,431,484,"free lunch"
58,3,"male","black","1st qtr - jan,feb,march",1980,428,500,"free lunch"
2419,3,"female","black","3rd qtr - july,aug,sept",1980,NA,NA,"non-free lunch"
3110,3,"male","black","3rd qtr - july,aug,sept",1980,518,602,"free lunch"
2017,3,"female","black","3rd qtr - july,aug,sept",1980,397,429,"free lunch"
771,3,"female","black","1st qtr - jan,feb,march",1980,419,468,"free lunch"
3603,3,"female","black","1st qtr - jan,feb,march",1980,442,489,"free lunch"
602,3,"female","black","2nd qtr - april,may,june",1980,448,494,"free lunch"
1181,3,"male","black","2nd qtr - april,may,june",1979,405,478,"free lunch"
680,3,"female","black","1st qtr - jan,feb,march",1980,405,434,"free lunch"
2130,3,"male","black","1st qtr - jan,feb,march",1980,451,500,"free lunch"
887,3,"female","black","3rd qtr - july,aug,sept",1980,403,449,"free lunch"
2041,3,"female","black","2nd qtr - april,may,june",1980,442,520,"free lunch"
912,5,"male","black","4th qtr - oct,nov,dec",1979,NA,NA,"free lunch"
4021,5,"male","black","3rd qtr - july,aug,sept",1980,402,423,"free lunch"
4039,5,"male","black","4th qtr - oct,nov,dec",1979,416,434,"free lunch"
2212,5,"male","black","3rd qtr - july,aug,sept",1980,391,405,"free lunch"
3245,5,"female","black","3rd qtr - july,aug,sept",1980,395,405,"free lunch"
207,5,"male","black","1st qtr - jan,feb,march",1980,418,423,"free lunch"
1364,5,"male","black","1st qtr - jan,feb,march",1980,407,478,"free lunch"
3597,5,"female","black","2nd qtr - april,may,june",1980,450,463,"non-free lunch"
3574,5,"male","black","1st qtr - jan,feb,march",1980,393,412,"free lunch"
1415,5,"male","black","3rd qtr - july,aug,sept",1980,400,412,"free lunch"
554,5,"male","black","3rd qtr - july,aug,sept",1980,403,399,"free lunch"
396,5,"female","black","2nd qtr - april,may,june",1980,402,449,"free lunch"
766,5,"male","black","3rd qtr - july,aug,sept",1980,391,444,"free lunch"
4022,5,"female","black","2nd qtr - april,may,june",1980,380,405,"free lunch"
2036,5,"male","black","2nd qtr - april,may,june",1980,391,399,"free lunch"
350,5,"male","black","1st qtr - jan,feb,march",1980,439,478,"free lunch"
930,5,"male","black","1st qtr - jan,feb,march",1980,380,439,"free lunch"
2734,5,"male","black","2nd qtr - april,may,june",1980,391,418,"free lunch"
2173,5,"male","black","1st qtr - jan,feb,march",1980,386,439,"free lunch"
1644,5,"female","black","1st qtr - jan,feb,march",1980,405,434,"free lunch"
3990,5,"female","black","3rd qtr - july,aug,sept",1980,393,423,"free lunch"
3705,5,"female","black","4th qtr - oct,nov,dec",1979,403,418,"free lunch"
1275,5,"male","black","1st qtr - jan,feb,march",1979,400,429,"free lunch"
2600,5,"male","black","4th qtr - oct,nov,dec",1979,433,494,"free lunch"
1327,6,"male","black","3rd qtr - july,aug,sept",1979,440,439,"free lunch"
997,6,"female","black","2nd qtr - april,may,june",1980,430,484,"free lunch"
3340,6,"female","black","1st qtr - jan,feb,march",1980,448,463,"non-free lunch"
2113,6,"male","black","3rd qtr - july,aug,sept",1980,NA,NA,"free lunch"
2690,6,"male","black","2nd qtr - april,may,june",1980,450,520,"free lunch"
3257,6,"female","black","2nd qtr - april,may,june",1980,422,468,"free lunch"
3315,6,"female","black","1st qtr - jan,feb,march",1980,456,547,"free lunch"
361,6,"male","black","2nd qtr - april,may,june",1980,440,528,"free lunch"
3561,6,"male","black","1st qtr - jan,feb,march",1980,448,489,"free lunch"
370,6,"female","black","4th qtr - oct,nov,dec",1979,437,478,"free lunch"
2605,6,"female","black","4th qtr - oct,nov,dec",1979,474,602,"non-free lunch"
241,6,"female","black","3rd qtr - july,aug,sept",1980,461,536,"free lunch"
2917,6,"female","black","3rd qtr - july,aug,sept",1980,461,513,"free lunch"
2818,6,"male","black","3rd qtr - july,aug,sept",1980,416,520,"free lunch"
2782,6,"female","black","3rd qtr - july,aug,sept",1980,436,536,"free lunch"
4094,6,"female","black","1st qtr - jan,feb,march",1980,431,478,"free lunch"
1567,6,"male","black","4th qtr - oct,nov,dec",1979,453,468,"free lunch"
1086,6,"male","black","3rd qtr - july,aug,sept",1980,424,434,"free lunch"
1433,6,"female","black","2nd qtr - april,may,june",1980,455,547,"free lunch"
3961,6,"male","black","2nd qtr - april,may,june",1980,411,528,"free lunch"
1006,6,"male","black","3rd qtr - july,aug,sept",1980,447,520,"free lunch"
2534,6,"female","black","2nd qtr - april,may,june",1980,433,520,"free lunch"
356,7,"female","black","3rd qtr - july,aug,sept",1980,405,449,"free lunch"
2879,7,"male","black","3rd qtr - july,aug,sept",1980,NA,NA,"free lunch"
849,7,"male","black","1st qtr - jan,feb,march",1980,407,429,"free lunch"
1680,7,"female","black","3rd qtr - july,aug,sept",1980,425,434,"free lunch"
3475,7,"male","black","4th qtr - oct,nov,dec",1979,410,576,"free lunch"
394,7,"male","black","4th qtr - oct,nov,dec",1979,397,434,"free lunch"
3742,7,"male","black","1st qtr - jan,feb,march",1980,421,463,"free lunch"
1444,7,"female","black","4th qtr - oct,nov,dec",1979,427,576,"non-free lunch"
1217,7,"female",NA,NA,NA,442,494,"free lunch"
3200,7,"male","black","2nd qtr - april,may,june",1980,400,484,"free lunch"
3236,7,"female","black","3rd qtr - july,aug,sept",1980,402,405,"free lunch"
759,7,"female","black","1st qtr - jan,feb,march",1980,NA,NA,"free lunch"
3616,7,"male","black","3rd qtr - july,aug,sept",1980,433,449,"free lunch"
444,7,"male","black","2nd qtr - april,may,june",1980,408,468,"free lunch"
2752,7,"male","black","3rd qtr - july,aug,sept",1980,424,459,"free lunch"
3238,7,"male","black","3rd qtr - july,aug,sept",1980,425,454,"free lunch"
1370,7,"female","black","3rd qtr - july,aug,sept",1980,410,449,"free lunch"
1593,7,"female","black","3rd qtr - july,aug,sept",1980,458,494,"free lunch"
2665,7,"female","black","3rd qtr - july,aug,sept",1980,408,434,"free lunch"
1066,7,"female","black","2nd qtr - april,may,june",1980,422,468,"free lunch"
483,7,"female","black","4th qtr - oct,nov,dec",1979,433,506,"free lunch"
2252,9,"male","black","3rd qtr - july,aug,sept",1980,442,478,"non-free lunch"
2213,9,"male","black","2nd qtr - april,may,june",1980,395,418,"free lunch"
