"clid","cltypek","hdegk","cladk","totexpk","tracek"
1,"regular class","bachelors","apprentice",1,"black"
2,"regular class","bachelors","level 1",10,"black"
3,"regular class","bachelors","level 1",11,"white"
5,"regular class","bachelors","level 1",12,"white"
6,"regular class","bachelors","level 1",24,"black"
7,"regular class","bachelors","level 1",5,"white"
9,"regular class","bachelors","level 1",9,"black"
11,"regular class","bachelors","probationary",0,"white"
13,"regular class","masters","level 1",11,"black"
14,"regular class","masters","level 1",15,"black"
15,"regular class","masters","level 1",7,"white"
16,"regular class","masters","probationary",3,"black"
18,"regular class","bachelors","apprentice",1,"white"
19,"regular class","bachelors","apprentice",1,"white"
20,"regular class","bachelors","apprentice",2,"white"
21,"regular class","bachelors","apprentice",2,"white"
22,"regular class","bachelors","apprentice",3,"black"
23,"regular class","bachelors","level 1",10,"white"
24,"regular class","bachelors","level 1",10,"white"
25,"regular class","bachelors","level 1",11,"white"
26,"regular class","bachelors","level 1",11,"white"
27,"regular class","bachelors","level 1",13,"white"
28,"regular class","bachelors","level 1",13,"white"
29,"regular class","bachelors","level 1",16,"white"
30,"regular class","bachelors","level 1",16,"white"
31,"regular class","bachelors","level 1",19,"white"
32,"regular class","bachelors","level 1",20,"white"
33,"regular class","bachelors","level 1",20,"white"
34,"regular class","bachelors","level 1",2,"white"
35,"regular class","bachelors","level 1",4,"white"
36,"regular class","bachelors","level 1",6,"white"
37,"regular class","bachelors","level 1",8,"white"
38,"regular class","bachelors","level 1",8,"white"
39,"regular class","bachelors","level 1",8,"white"
40,"regular class","bachelors","level 2",10,"white"
41,"regular class","bachelors","probationary",0,"white"
42,"regular class","bachelors","probationary",0,"white"
43,"regular class","masters","level 1",10,"white"
44,"regular class","masters","level 1",11,"white"
45,"regular class","masters","level 1",12,"white"
46,"regular class","masters","level 1",12,"white"
47,"regular class","masters","level 1",12,"white"
48,"regular class","masters","level 1",13,"white"
49,"regular class","masters","level 1",13,"white"
50,"regular class","masters","level 1",13,"white"
51,"regular class","masters","level 1",13,"white"
52,"regular class","masters","level 1",13,"white"
53,"regular class","masters","level 1",13,"white"
54,"regular class","masters","level 1",15,"white"
55,"regular class","masters","level 1",17,"white"
56,"regular class","masters","level 1",4,"white"
57,"regular class","masters","level 1",5,"white"
58,"regular class","masters","level 1",6,"white"
59,"regular class","masters","level 1",6,"white"
60,"regular class","masters","level 1",8,"black"
61,"regular class","masters","level 1",8,"white"
62,"regular class","masters","level 2",11,"white"
63,"regular class","masters","level 3",16,"white"
64,"regular class","bachelors","apprentice",1,"black"
65,"regular class","bachelors","apprentice",1,"white"
66,"regular class","bachelors","level 1",0,"white"
67,"regular class","bachelors","level 1",11,"white"
68,"regular class","bachelors","level 1",12,"white"
69,"regular class","bachelors","level 1",15,"white"
70,"regular class","bachelors","level 1",20,"black"
71,"regular class","bachelors","level 1",6,"white"
72,"regular class","bachelors","level 1",8,"white"
73,"regular class","bachelors","pending",3,"white"
74,"regular class","bachelors","probationary",14,"white"
75,"regular class","master + ","level 1",13,"white"
76,"regular class","masters","level 1",12,"white"
77,"regular class","masters","level 1",13,"white"
78,"regular class","masters","level 1",22,"white"
79,"regular class","masters","level 1",24,"white"
80,"regular class","masters","level 3",15,"white"
81,"regular class","bachelors","level 1",3,"white"
82,"regular class","bachelors","level 1",5,"white"
83,"regular class","bachelors","level 1",5,"white"
84,"regular class","bachelors","level 1",8,"white"
85,"regular class","bachelors","probationary",0,"white"
86,"regular class","master + ","level 1",13,"white"
87,"regular class","masters","level 1",4,"white"
88,"regular class","masters","level 1",6,"white"
89,"small class","bachelors","apprentice",1,"black"
90,"small class","bachelors","apprentice",1,"black"
91,"small class","bachelors","apprentice",1,"white"
92,"small class","bachelors","apprentice",1,"white"
93,"small class","bachelors","apprentice",2,"black"
94,"small class","bachelors","apprentice",2,"white"
95,"small class","bachelors","apprentice",2,"white"
96,"small class","bachelors","level 1",11,"white"
97,"small class","bachelors","level 1",14,"white"
98,"small class","bachelors","level 1",21,"black"
99,"small class","bachelors","level 1",3,"black"
100,"small class","bachelors","level 1",3,"black"
101,"small class","bachelors","level 1",5,"white"
102,"small class","bachelors","level 1",6,"black"
103,"small class","bachelors","level 1",6,"white"
104,"small class","bachelors","level 1",9,"white"
105,"small class","bachelors","probationary",1,"white"
106,"small class","bachelors","probationary",9,"black"
107,"small class","masters","level 1",10,"black"
108,"small class","masters","level 1",13,"black"
109,"small class","masters","level 1",6,"white"
110,"small class","masters","level 1",8,"white"
111,"small class","masters","level 3",12,"white"
112,"small class","bachelors","apprentice",1,"white"
113,"small class","bachelors","apprentice",2,"white"
114,"small class","bachelors","apprentice",3,"white"
115,"small class","bachelors","level 1",10,"white"
116,"small class","bachelors","level 1",11,"white"
117,"small class","bachelors","level 1",12,"white"
118,"small class","bachelors","level 1",12,"white"
119,"small class","bachelors","level 1",12,"white"
120,"small class","bachelors","level 1",14,"white"
121,"small class","bachelors","level 1",15,"white"
122,"small class","bachelors","level 1",15,"white"
123,"small class","bachelors","level 1",15,"white"
124,"small class","bachelors","level 1",16,"white"
126,"small class","bachelors","level 1",20,"white"
127,"small class","bachelors","level 1",21,"white"
128,"small class","bachelors","level 1",22,"white"
129,"small class","bachelors","level 1",27,"white"
130,"small class","bachelors","level 1",2,"white"
131,"small class","bachelors","level 1",2,"white"
132,"small class","bachelors","level 1",3,"white"
133,"small class","bachelors","level 1",4,"white"
134,"small class","bachelors","level 1",4,"white"
135,"small class","bachelors","level 1",4,"white"
136,"small class","bachelors","level 1",5,"white"
137,"small class","bachelors","level 1",5,"white"
138,"small class","bachelors","level 1",6,"white"
139,"small class","bachelors","level 1",6,"white"
140,"small class","bachelors","level 1",6,"white"
141,"small class","bachelors","level 1",7,"white"
142,"small class","bachelors","level 1",8,"white"
143,"small class","bachelors","level 1",8,"white"
144,"small class","bachelors","level 1",8,"white"
145,"small class","bachelors","level 1",8,"white"
146,"small class","bachelors","level 1",9,"white"
147,"small class","master + ","level 1",6,"white"
148,"small class","master + ","level 1",8,"white"
149,"small class","masters","level 1",12,"white"
150,"small class","masters","level 1",12,"white"
151,"small class","masters","level 1",13,"white"
152,"small class","masters","level 1",15,"white"
153,"small class","masters","level 1",4,"white"
154,"small class","masters","level 1",5,"white"
155,"small class","masters","level 1",6,"white"
156,"small class","masters","level 1",6,"white"
157,"small class","masters","level 1",6,"white"
158,"small class","masters","level 1",8,"white"
159,"small class","masters","level 1",8,"white"
160,"small class","masters","level 1",8,"white"
161,"small class","masters","level 1",9,"white"
162,"small class","masters","pending",11,"white"
163,"small class","specialist","level 1",10,"white"
164,"small class","specialist","level 1",14,"white"
165,"small class","specialist","level 2",8,"white"
166,"small class","bachelors","apprentice",5,"black"
167,"small class","bachelors","level 1",10,"white"
168,"small class","bachelors","level 1",11,"black"
169,"small class","bachelors","level 1",11,"white"
170,"small class","bachelors","level 1",12,"black"
171,"small class","bachelors","level 1",14,"white"
172,"small class","bachelors","level 1",16,"black"
173,"small class","bachelors","level 1",21,"white"
174,"small class","bachelors","level 1",3,"white"
175,"small class","bachelors","level 1",5,"white"
176,"small class","bachelors","level 2",13,"white"
177,"small class","bachelors","probationary",0,"white"
178,"small class","bachelors","probationary",0,"white"
179,"small class","masters","level 1",12,"white"
180,"small class","masters","level 1",14,"black"
181,"small class","masters","level 1",15,"white"
182,"small class","masters","level 1",17,"white"
183,"small class","masters","level 1",18,"white"
184,"small class","masters","level 1",20,"white"
185,"small class","masters","level 1",4,"white"
186,"small class","masters","level 1",7,"white"
187,"small class","masters","level 1",7,"white"
188,"small class","masters","level 1",8,"white"
189,"small class","masters","probationary",8,"white"
190,"small class","bachelors","apprentice",1,"white"
191,"small class","bachelors","level 1",11,"white"
192,"small class","bachelors","level 1",11,"white"
193,"small class","bachelors","level 1",13,"white"
194,"small class","bachelors","level 1",14,"white"
195,"small class","bachelors","level 1",21,"white"
196,"small class","bachelors","probationary",1,"white"
197,"small class","master + ","level 1",12,"white"
198,"small class","masters","level 1",12,"white"
199,"small class","masters","level 1",13,"white"
200,"small class","masters","level 1",14,"white"
201,"small class","masters","level 1",17,"white"
202,"small class","masters","level 1",7,"white"
